"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","67,400.0","67,400.0","67,500.0","67,200.0","4.40K","0.00%"
"30/12/2025","67,400.0","67,400.0","67,600.0","67,400.0","3.80K","0.00%"
"29/12/2025","67,400.0","67,800.0","67,800.0","67,400.0","8.20K","0.15%"
"26/12/2025","67,300.0","68,000.0","68,100.0","67,300.0","11.10K","-1.03%"
"25/12/2025","68,000.0","67,500.0","68,500.0","67,500.0","2.80K","0.74%"
"24/12/2025","67,500.0","68,000.0","68,000.0","67,500.0","4.60K","0.00%"
"23/12/2025","67,500.0","67,600.0","68,000.0","67,300.0","10.90K","-0.74%"
"22/12/2025","68,000.0","68,000.0","68,000.0","67,300.0","35.00K","-0.73%"
"19/12/2025","68,500.0","67,600.0","68,500.0","67,500.0","6.00K","1.48%"
"18/12/2025","67,500.0","67,800.0","68,000.0","67,500.0","3.30K","-0.44%"
"17/12/2025","67,800.0","68,000.0","68,000.0","67,500.0","7.50K","-0.29%"
"16/12/2025","68,000.0","68,200.0","68,900.0","67,500.0","5.50K","0.15%"
"15/12/2025","67,900.0","67,700.0","68,000.0","67,600.0","11.40K","0.44%"
"12/12/2025","67,600.0","68,000.0","68,200.0","67,600.0","3.60K","-0.59%"
"11/12/2025","68,000.0","67,700.0","68,000.0","67,700.0","3.00K","0.74%"
"10/12/2025","67,500.0","67,600.0","67,800.0","67,200.0","12.10K","-0.30%"
"09/12/2025","67,700.0","67,600.0","67,700.0","67,200.0","8.70K","-0.15%"
"08/12/2025","67,800.0","67,800.0","67,800.0","67,500.0","6.40K","0.44%"
"05/12/2025","67,500.0","67,800.0","67,900.0","67,500.0","16.00K","-0.74%"
"04/12/2025","68,000.0","67,500.0","68,000.0","67,500.0","10.30K","0.00%"
"03/12/2025","68,000.0","68,000.0","68,000.0","67,900.0","8.70K","0.15%"
"02/12/2025","67,900.0","67,900.0","68,000.0","67,800.0","48.10K","0.00%"
"01/12/2025","67,900.0","68,000.0","68,000.0","67,800.0","8.90K","-0.15%"
"28/11/2025","68,000.0","68,000.0","68,400.0","68,000.0","5.20K","0.00%"
"27/11/2025","68,000.0","68,000.0","68,500.0","67,900.0","11.90K","-0.15%"
"26/11/2025","68,100.0","68,600.0","68,600.0","68,000.0","8.50K","0.00%"
"25/11/2025","68,100.0","68,100.0","68,100.0","68,000.0","37.60K","-1.16%"
"24/11/2025","68,900.0","68,500.0","68,900.0","67,900.0","55.80K","0.44%"
"21/11/2025","68,600.0","68,600.0","69,400.0","68,600.0","7.10K","-0.29%"
"20/11/2025","68,800.0","68,800.0","68,900.0","68,700.0","6.50K","-0.29%"
"19/11/2025","69,000.0","69,000.0","69,000.0","68,800.0","3.60K","0.00%"
"18/11/2025","69,000.0","69,800.0","69,800.0","69,000.0","3.90K","0.00%"
"17/11/2025","69,000.0","69,900.0","69,900.0","68,700.0","22.60K","-1.15%"
"14/11/2025","69,800.0","69,500.0","69,800.0","68,600.0","3.40K","0.43%"
"13/11/2025","69,500.0","69,700.0","69,700.0","69,200.0","13.50K","-0.43%"
"12/11/2025","69,800.0","69,900.0","69,900.0","69,700.0","0.80K","2.35%"
"11/11/2025","68,200.0","68,400.0","68,500.0","68,100.0","9.60K","-0.44%"
"10/11/2025","68,500.0","69,800.0","69,800.0","68,500.0","18.70K","-1.30%"
"07/11/2025","69,400.0","69,600.0","69,600.0","69,400.0","3.70K","-0.29%"
"06/11/2025","69,600.0","69,700.0","69,700.0","69,600.0","1.10K","0.00%"
"05/11/2025","69,600.0","69,800.0","69,800.0","69,500.0","22.50K","-0.29%"
"04/11/2025","69,800.0","69,600.0","69,900.0","69,500.0","22.20K","0.29%"
"03/11/2025","69,600.0","69,800.0","69,800.0","69,600.0","5.50K","-0.29%"
"31/10/2025","69,800.0","69,800.0","69,900.0","69,500.0","8.00K","0.00%"
"30/10/2025","69,800.0","69,900.0","69,900.0","69,100.0","19.70K","0.00%"
"29/10/2025","69,800.0","69,400.0","69,800.0","69,400.0","14.30K","0.00%"
"28/10/2025","69,800.0","69,600.0","69,900.0","69,200.0","6.50K","0.29%"
"27/10/2025","69,600.0","69,700.0","69,900.0","69,600.0","8.00K","-0.29%"
"24/10/2025","69,800.0","69,600.0","69,800.0","69,600.0","3.50K","0.29%"
"23/10/2025","69,600.0","69,300.0","70,000.0","69,300.0","7.80K","0.43%"
"22/10/2025","69,300.0","70,400.0","70,400.0","69,000.0","11.50K","-1.00%"
"21/10/2025","70,000.0","70,100.0","70,500.0","70,000.0","14.70K","-0.28%"
"20/10/2025","70,200.0","71,000.0","71,000.0","70,200.0","15.00K","-0.43%"
"17/10/2025","70,500.0","71,000.0","71,100.0","70,500.0","7.70K","0.00%"
"16/10/2025","70,500.0","71,000.0","71,000.0","70,500.0","1.30K","0.00%"
"15/10/2025","70,500.0","70,400.0","71,200.0","70,400.0","11.10K","0.28%"
"14/10/2025","70,300.0","70,300.0","70,400.0","70,200.0","3.30K","0.29%"
"13/10/2025","70,100.0","71,300.0","71,300.0","70,100.0","21.20K","-1.68%"
"10/10/2025","71,300.0","71,400.0","71,500.0","71,300.0","13.40K","-0.14%"
"09/10/2025","71,400.0","70,500.0","71,500.0","70,500.0","11.60K","1.28%"
"08/10/2025","70,500.0","71,200.0","71,400.0","70,500.0","14.10K","-0.98%"
"07/10/2025","71,200.0","71,500.0","71,500.0","71,000.0","8.80K","-0.28%"
"06/10/2025","71,400.0","71,600.0","71,600.0","71,000.0","5.70K","0.00%"
"03/10/2025","71,400.0","71,400.0","71,500.0","71,000.0","10.50K","0.14%"
"02/10/2025","71,300.0","71,700.0","71,700.0","71,300.0","6.10K","-0.56%"
"01/10/2025","71,700.0","71,900.0","72,000.0","71,700.0","12.00K","-0.28%"
"30/09/2025","71,900.0","72,000.0","72,000.0","71,600.0","5.10K","-0.14%"
"29/09/2025","72,000.0","72,000.0","72,100.0","72,000.0","4.70K","-0.14%"
"26/09/2025","72,100.0","72,500.0","72,500.0","72,000.0","11.40K","-0.69%"
"25/09/2025","72,600.0","72,900.0","72,900.0","72,400.0","1.50K","0.28%"
"24/09/2025","72,400.0","72,400.0","72,600.0","72,300.0","18.60K","-0.14%"
"23/09/2025","72,500.0","72,800.0","72,800.0","72,500.0","9.30K","-0.41%"
"22/09/2025","72,800.0","72,800.0","72,900.0","72,600.0","6.20K","-0.14%"
