"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","19,950.0","20,350.0","20,450.0","19,900.0","4.87M","-1.48%"
"30/12/2025","20,250.0","20,300.0","20,550.0","20,250.0","3.17M","-0.25%"
"29/12/2025","20,300.0","20,200.0","20,600.0","20,150.0","3.22M","0.74%"
"26/12/2025","20,150.0","20,550.0","20,700.0","19,750.0","7.05M","-2.18%"
"25/12/2025","20,600.0","21,000.0","21,500.0","20,600.0","6.17M","-0.96%"
"24/12/2025","20,800.0","20,750.0","21,200.0","20,550.0","4.04M","0.00%"
"23/12/2025","20,800.0","20,850.0","21,500.0","20,700.0","6.54M","0.00%"
"22/12/2025","20,800.0","20,150.0","20,950.0","20,150.0","5.45M","4.00%"
"19/12/2025","20,000.0","20,300.0","20,450.0","20,000.0","4.30M","-0.50%"
"18/12/2025","20,100.0","20,200.0","20,450.0","19,950.0","2.81M","0.50%"
"17/12/2025","20,000.0","20,350.0","20,450.0","20,000.0","2.80M","-1.72%"
"16/12/2025","20,350.0","19,650.0","20,600.0","19,100.0","6.12M","3.83%"
"15/12/2025","19,600.0","19,700.0","20,050.0","19,500.0","4.95M","-0.76%"
"12/12/2025","19,750.0","21,450.0","21,450.0","19,750.0","14.94M","-6.84%"
"11/12/2025","21,200.0","21,150.0","21,600.0","21,150.0","4.41M","-0.24%"
"10/12/2025","21,250.0","21,950.0","21,950.0","21,100.0","6.17M","-1.62%"
"09/12/2025","21,600.0","22,100.0","22,200.0","21,400.0","10.59M","-1.59%"
"08/12/2025","21,950.0","22,650.0","22,650.0","21,950.0","8.10M","-2.88%"
"05/12/2025","22,600.0","23,300.0","23,350.0","22,550.0","8.74M","-2.16%"
"04/12/2025","23,100.0","22,950.0","23,750.0","22,800.0","17.62M","1.99%"
"03/12/2025","22,650.0","22,150.0","22,900.0","22,050.0","8.47M","2.95%"
"02/12/2025","22,000.0","22,300.0","22,300.0","21,450.0","8.47M","-0.45%"
"01/12/2025","22,100.0","22,400.0","22,800.0","22,050.0","6.18M","0.45%"
"28/11/2025","22,000.0","22,800.0","23,300.0","22,000.0","14.75M","-2.87%"
"27/11/2025","22,650.0","23,200.0","23,300.0","22,550.0","7.52M","-2.16%"
"26/11/2025","23,150.0","22,100.0","23,150.0","21,000.0","14.37M","6.93%"
"25/11/2025","21,650.0","22,350.0","22,400.0","21,350.0","7.74M","-2.70%"
"24/11/2025","22,250.0","22,400.0","22,750.0","22,250.0","4.73M","-0.22%"
"21/11/2025","22,300.0","22,050.0","22,500.0","21,650.0","8.47M","-0.22%"
"20/11/2025","22,350.0","22,300.0","22,800.0","21,900.0","7.20M","-0.22%"
"19/11/2025","22,400.0","23,200.0","23,300.0","22,050.0","9.62M","-2.82%"
"18/11/2025","23,050.0","22,750.0","23,650.0","22,700.0","14.23M","1.32%"
"17/11/2025","22,750.0","22,550.0","23,000.0","22,100.0","8.60M","2.25%"
"14/11/2025","22,250.0","21,900.0","22,650.0","21,800.0","10.93M","1.14%"
"13/11/2025","22,000.0","22,250.0","22,750.0","21,700.0","14.53M","2.09%"
"12/11/2025","21,550.0","20,700.0","21,550.0","20,500.0","13.34M","6.95%"
"11/11/2025","20,150.0","20,950.0","21,000.0","19,950.0","8.81M","-1.95%"
"10/11/2025","20,550.0","20,300.0","21,250.0","20,050.0","10.54M","-1.20%"
"07/11/2025","20,800.0","22,200.0","22,450.0","20,800.0","10.64M","-5.45%"
"06/11/2025","22,000.0","21,950.0","22,400.0","21,550.0","8.00M","1.85%"
"05/11/2025","21,600.0","22,950.0","22,950.0","21,600.0","7.19M","-5.88%"
"04/11/2025","22,950.0","21,450.0","22,950.0","20,300.0","17.07M","6.25%"
"03/11/2025","21,600.0","23,300.0","23,400.0","21,600.0","14.10M","-6.90%"
"31/10/2025","23,200.0","24,550.0","24,600.0","23,150.0","11.96M","-5.50%"
"30/10/2025","24,550.0","25,300.0","25,300.0","24,100.0","7.80M","-1.80%"
"29/10/2025","25,000.0","25,100.0","26,100.0","24,750.0","12.68M","0.40%"
"28/10/2025","24,900.0","23,400.0","24,900.0","22,600.0","12.67M","5.73%"
"27/10/2025","23,550.0","25,500.0","25,900.0","23,550.0","10.93M","-5.80%"
"24/10/2025","25,000.0","25,800.0","26,000.0","24,550.0","11.08M","-2.53%"
"23/10/2025","25,650.0","24,450.0","25,650.0","24,000.0","10.63M","6.88%"
"22/10/2025","24,000.0","24,200.0","24,300.0","23,000.0","6.23M","0.84%"
"21/10/2025","23,800.0","24,500.0","25,150.0","23,400.0","11.90M","-5.37%"
"20/10/2025","25,150.0","27,000.0","27,200.0","25,150.0","12.34M","-6.85%"
"17/10/2025","27,000.0","27,500.0","27,900.0","27,000.0","10.24M","-1.82%"
"16/10/2025","27,500.0","28,400.0","28,650.0","27,500.0","10.10M","-2.65%"
"15/10/2025","28,250.0","28,200.0","29,400.0","28,150.0","13.22M","1.62%"
